6d652958-e314-5345-bf68-fbd622aef00e,-1,other
b33caef1-fbd8-5e56-9c69-afe992aab497,49,news
8e9d87fb-688a-5865-949a-0cc3e38e92a7,18,art
b11160ba-9a50-59fb-b200-b4b10957922c,18,art
dd4ce197-0c6d-5f3a-9e7b-a32cda1af58f,22,gaming
4484171a-d58d-5d7d-b43c-91714c0cefa5,-1,other
14ae106b-dc8f-53db-83ed-023432f9b092,-1,other
4a0d18d2-cd9c-5201-a3d2-6112cc3dfe47,-1,other
a2fdc0b9-f88a-54eb-9ab8-9d0b079d1fcc,-1,other
49d985f0-6519-57ff-b563-ef67956b2f99,-1,other
09667daa-5214-5206-a706-d588e199b552,18,art
4ae8af96-c2d3-5868-b830-784f2443fba9,18,art
f9ad3805-8388-5852-87ee-f7607e2ad8d1,97,tea
f7a0dbb3-bf18-54dc-b401-f94aac09c4d8,49,news
5b4e3709-e7a9-5b71-b663-6f1734834143,27,crime
0171c546-838e-57dc-b005-3a98f576320a,-1,other
07657ef4-e6d7-51a0-8d38-c7df3b7c2c09,-1,other
c178a2b3-86c8-57cd-8754-8065cb07f299,1,politics
013e24fc-08f0-5177-999c-942cfef4f9fa,1,politics
57cf36fc-9748-5178-a152-af00cd080bbc,-1,other
76be526d-63c8-5063-a8db-4db5e644f5de,-1,other
7f535c62-1beb-5f8b-81cc-9db6437767ed,-1,other
91fde4ea-ed03-51b3-a269-c8eee9604b1b,-1,other
262a2e73-7823-5614-86d9-b131a5d998c4,-1,other
3948ebd3-ec84-5afc-a6ae-005cb461e82f,-1,other
5921eaaf-d7bb-5990-81d5-1c5bc005bff9,1,politics
75255dcb-7cf5-53a7-b51a-2f4938fe232b,-1,other
c1028902-144d-54e7-ac90-1a81000d8147,-1,other
ece5d598-509e-5189-98c6-783904d4d87d,-1,other
c742fc08-15ba-5505-a1b2-8fece2824f63,-1,other
27f7c128-630d-5383-a0da-5ae586a7d6ce,3,sports
4ad4da1b-798a-56d0-b231-de2377d2b42e,-1,other
caa0f0f2-2051-57dd-a120-5b5ac709b45e,-1,other
1c171de4-b6cd-5fba-87f9-25542a87705b,-1,other
a231055a-f9b4-5670-a70e-43d01afcfb52,-1,other
806c03d2-a3c1-5232-b7ea-7fedad7cdce4,18,art
bad46e14-f0aa-5fdc-819a-7d7ab935b4b9,-1,other
0e4d8197-3fcd-59ce-a49a-821efabe9c78,-1,other
b9dea65e-52d9-5fef-a0bb-402be2f3f3ae,-1,other
819c347b-3cea-53ed-bd69-db2b18635045,18,art
c54294a4-1865-5355-9c0c-125280d5f290,-1,other
772891b6-37f5-57a8-95fd-74734e085833,-1,other
6126702c-efbb-5441-9573-0a1952c75893,97,tea
cf874128-822f-5f82-8b5b-c8a9ab76d165,-1,other
1f72825a-a491-5409-8fdd-c4aacbd44374,1,politics
e0c7674f-f227-5565-9fba-dd7c0b083782,-1,other
d128f160-9f20-5e11-8900-945c8407bb94,-1,other
c9d8b3a3-ca0f-5d4a-b9fe-b7c2188b7af1,-1,other
9115f223-5a9d-5939-9626-7f60a3256064,18,art
61ccacf1-7312-50d4-9611-6a63fbe59d70,22,gaming
03b62a83-1a41-5558-8543-d94c38f3e13f,-1,other
7d1df3b3-b986-5fb9-9c79-a2ae7e95ab26,-1,other
8eae2b3e-6671-5d7e-b60d-c54e14d06363,14,movies
a7ee72f1-40f3-5a44-89ed-54774ce74d8f,1,politics
031ac33d-035f-585f-95c9-b10b0b710aa8,-1,other
515552a3-717b-519c-8d39-54d18b5a3b3d,-1,other
c8b34d50-5b19-54fe-aa8c-c09a39a45e6f,-1,other
a85c52e6-1ade-5ca6-9ee1-79ff3ff14b9d,49,news
12002bf6-7701-5973-b989-30e4c613a7a8,-1,other
